########################## FILTER u ###########################

#CCD	AIRMASS	k_COEFF	K_COEFF	BACK_SIGMA	ZP	ZP_ERR
N3	1.01	0.2	0.2	0.0218214	25.3780	0.2369
N4	1.01	0.2	0.2	0.0051273	25.3900	0.0855
N5	1.01	0.2	0.2	0.0053725	25.3926	0.2247
N6	1.01	0.2	0.2	0.0100178	25.4042	0.3884
N7	1.01	0.2	0.2	0.0021512	25.4380	0.2547
N8	1.01	0.2	0.2	0.0033199	25.4272	0.2955
N9	1.01	0.2	0.2	0.0067409	25.4059	0.3259
N10	1.01	0.2	0.2	0.0026741	25.3829	0.3361
N11	1.01	0.2	0.2	0.0016762	25.3798	0.2901
N12	1.01	0.2	0.2	0.0014433	25.3952	0.1926
N13	1.01	0.2	0.2	0.0056347	25.4264	0.2648
N14	1.01	0.2	0.2	0.0022353	25.4394	0.2219
N15	1.01	0.2	0.2	0.0024600	25.4202	0.2346
N16	1.01	0.2	0.2	0.0084005	25.3945	0.2712
N17	1.01	0.2	0.2	0.0041448	25.3855	0.2114
N18	1.01	0.2	0.2	0.0047988	25.4124	0.2096
N19	1.01	0.2	0.2	0.0032994	25.4346	0.1449
N20	1.01	0.2	0.2	0.0033653	25.4427	0.2373
N21	1.01	0.2	0.2	0.0070662	25.4304	0.2155
N22	1.01	0.2	0.2	0.0029667	25.4100	0.1176
N23	1.01	0.2	0.2	0.0026083	25.4105	0.2805
N24	1.01	0.2	0.2	0.0011699	25.4499	0.1621
N25	1.01	0.2	0.2	0.0040055	25.4435	0.3119
N26	1.01	0.2	0.2	0.0043374	25.4438	0.0697
N27	1.01	0.2	0.2	0.0189669	25.4333	0.2787
N28	1.01	0.2	0.2	0.0027789	25.4407	0.3680
N29	1.01	0.2	0.2	0.0065883	25.4477	0.2258
N30	1.01	0.2	0.2	999999999	9999999	999999		
N31	1.01	0.2	0.2	0.0012135	25.4434	0.1782

########################## FILTER r ###########################

#CCD	AIRMASS	k_COEFF	K_COEFF	BACK_SIGMA	ZP	ZP_ERR
S1	1.065	0.10	0.10	0.0027433	25.4058	0.2293
S2	1.065	0.10	0.10	0.0016382	25.3735	0.2025
S3	1.065	0.10	0.10	0.0013628	25.4037	0.2762
S4	1.065	0.10	0.10	0.0023934	25.3765	0.1608
S5	1.065	0.10	0.10	0.0061383	25.4125	0.2252
S6	1.065	0.10	0.10	0.0008462	25.4056	0.1618
S7	1.065	0.10	0.10	999999999	25.4400	0.2460
S8	1.065	0.10	0.10	0.0042016	25.3731	0.3704
S9	1.065	0.10	0.10	0.0009485	25.3496	0.2233
S10	1.065	0.10	0.10	0.0008390	25.3731	0.1910
S11	1.065	0.10	0.10	0.0009511	25.3416	0.1982
S12	1.065	0.10	0.10	0.0010132	25.4279	0.3195
S13	1.065	0.10	0.10	0.0007537	25.4096	0.2381
S14	1.065	0.10	0.10	0.0014462	25.4213	0.1398
S15	1.065	0.10	0.10	0.0018890	25.3675	0.2340
S16	1.065	0.10	0.10	0.0009996	25.4671	0.1808
S17	1.065	0.10	0.10	0.0009823	25.3865	0.2765
S18	1.065	0.10	0.10	0.0008273	25.3733	0.1614
S19	1.065	0.10	0.10	0.0021489	25.3908	0.1976
S20	1.065	0.10	0.10	0.0019045	25.4051	0.3938
S21	1.065	0.10	0.10	0.0009171	25.4114	0.2380
S22	1.065	0.10	0.10	0.0023218	25.4622	0.2661
S23	1.065	0.10	0.10	0.0008401	25.3666	0.2300
S24	1.065	0.10	0.10	0.0017539	25.3936	0.1889
S25	1.065	0.10	0.10	0.0011439	25.4433	0.2595
S26	1.065	0.10	0.10	0.0014296	25.4491	0.2169
S27	1.065	0.10	0.10	0.0008694	25.4220	0.2686
S28	1.065	0.10	0.10	0.0008384	25.4052	0.1775
S29	1.065	0.10	0.10	0.0013752	25.4620	0.1822
S30	1.065	0.10	0.10	0.0030736	25.4047	0.1893
S31	1.065	0.10	0.10	0.0019137	25.4086	0.2836
N1	1.065	0.10	0.10	0.0008771	25.3708	0.2189
N2	1.065	0.10	0.10	0.0020825	25.3581	0.2190
N3	1.065	0.10	0.10	0.0235560	25.2989	0.2239
N4	1.065	0.10	0.10	0.0040901	25.3985	0.3270
N5	1.065	0.10	0.10	0.0022521	25.3826	0.3378
N6	1.065	0.10	0.10	0.0108609	25.4443	0.2787
N7	1.065	0.10	0.10	0.0012149	25.4800	0.2202
N8	1.065	0.10	0.10	0.0016594	25.4431	0.3402
N9	1.065	0.10	0.10	0.0016965	25.3559	0.1833
N10	1.065	0.10	0.10	0.0016476	25.3783	0.1994
N11	1.065	0.10	0.10	0.0011407	25.4349	0.2048
N12	1.065	0.10	0.10	0.0008245	25.4101	0.2291
N13	1.065	0.10	0.10	0.0080427	25.3899	0.2065
N14	1.065	0.10	0.10	0.0010471	25.4286	0.4175
N15	1.065	0.10	0.10	0.0017633	25.3925	0.2290
N16	1.065	0.10	0.10	0.0041386	25.3004	0.2691
N17	1.065	0.10	0.10	0.0021216	25.3672	0.2202
N18	1.065	0.10	0.10	0.0045603	25.3668	0.2179
N19	1.065	0.10	0.10	0.0310890	25.4067	0.3278
N20	1.065	0.10	0.10	0.0012276	25.4029	0.3594
N21	1.065	0.10	0.10	0.0033919	25.3770	0.2035
N22	1.065	0.10	0.10	0.0013733	25.4285	0.3040
N23	1.065	0.10	0.10	0.0011880	25.3639	0.1712
N24	1.065	0.10	0.10	0.0009260	25.3724	0.2415
N25	1.065	0.10	0.10	0.0026886	25.3951	0.2022
N26	1.065	0.10	0.10	0.0014491	25.3529	0.2217
N27	1.065	0.10	0.10	0.0144821	25.3964	0.2470
N28	1.065	0.10	0.10	0.0016649	25.3686	0.2104
N29	1.065	0.10	0.10	0.0044338	25.3983	0.1794
N30	1.065	0.10	0.10	999999999	9999999	999999		
N31	1.065	0.10	0.10	0.0045535	25.4175	0.1307

########################## FILTER i ###########################

#CCD	AIRMASS	k_COEFF	K_COEFF	BACK_SIGMA	ZP	ZP_ERR
S1	1.01	0.06	0.06	0.0008474	25.4051	0.2455
S2	1.01	0.06	0.06	0.0010465	25.3804	0.1391
S3	1.01	0.06	0.06	0.0008345	25.3694	0.1729
S4	1.01	0.06	0.06	0.0009268	25.3625	0.1205
S5	1.01	0.06	0.06	0.0016866	25.3749	0.1631
S6	1.01	0.06	0.06	0.0005961	25.3905	0.1433
S7	1.01	0.06	0.06	999999999	25.4262	0.1849
S8	1.01	0.06	0.06	0.0021493	25.4011	0.1326
S9	1.01	0.06	0.06	0.0007927	25.3834	0.1381
S10	1.01	0.06	0.06	0.0007158	25.3749	0.1523
S11	1.01	0.06	0.06	0.0009739	25.3794	0.1526
S12	1.01	0.06	0.06	0.0007534	25.3900	0.1875
S13	1.01	0.06	0.06	0.0007002	25.3936	0.1776
S14	1.01	0.06	0.06	0.0008808	25.4113	0.1780
S15	1.01	0.06	0.06	0.0007147	25.3925	0.0400
S16	1.01	0.06	0.06	0.0009134	25.3862	0.2481
S17	1.01	0.06	0.06	0.0007598	25.3823	0.1858
S18	1.01	0.06	0.06	0.0007802	25.3950	0.1502
S19	1.01	0.06	0.06	0.0006897	25.4158	0.0885
S20	1.01	0.06	0.06	0.0007811	25.4088	0.2049
S21	1.01	0.06	0.06	0.0008548	25.3930	0.1309
S22	1.01	0.06	0.06	0.0010759	25.3872	0.1558
S23	1.01	0.06	0.06	0.0008339	25.4003	0.1545
